Dec-Jan-Feb 1962,Dec-Jan-Feb 1963,Dec-Jan-Feb 1964,Dec-Jan-Feb 1965,Dec-Jan-Feb 1966,Dec-Jan-Feb 1967,Dec-Jan-Feb 1968,Dec-Jan-Feb 1969,Dec-Jan-Feb 1970,Dec-Jan-Feb 1971,Dec-Jan-Feb 1972,Dec-Jan-Feb 1973,Dec-Jan-Feb 1974,Dec-Jan-Feb 1975,Dec-Jan-Feb 1976,Dec-Jan-Feb 1977,Dec-Jan-Feb 1978,Dec-Jan-Feb 1979,Dec-Jan-Feb 1980,Dec-Jan-Feb 1981,Dec-Jan-Feb 1982,Dec-Jan-Feb 1983,Dec-Jan-Feb 1984,Dec-Jan-Feb 1985,Dec-Jan-Feb 1986,Dec-Jan-Feb 1987,Dec-Jan-Feb 1988,Dec-Jan-Feb 1989,Dec-Jan-Feb 1990,Dec-Jan-Feb 1991,Dec-Jan-Feb 1992,Dec-Jan-Feb 1993,Dec-Jan-Feb 1994,Dec-Jan-Feb 1995,Dec-Jan-Feb 1996,Dec-Jan-Feb 1997,Dec-Jan-Feb 1998,Dec-Jan-Feb 1999,Dec-Jan-Feb 2000,Dec-Jan-Feb 2001,Dec-Jan-Feb 2002,Dec-Jan-Feb 2003,Dec-Jan-Feb 2004,Dec-Jan-Feb 2005,Dec-Jan-Feb 2006,Dec-Jan-Feb 2007,Dec-Jan-Feb 2008,Dec-Jan-Feb 2009,Dec-Jan-Feb 2010,Dec-Jan-Feb 2011,Dec-Jan-Feb 2012,Dec-Jan-Feb 2013,Dec-Jan-Feb 2014,Dec-Jan-Feb 2015,Dec-Jan-Feb 2016,Dec-Jan-Feb 2017,Dec-Jan-Feb 2018,Dec-Jan-Feb 2019
0.6,-0.721,-0.603,-3.636,-1.115,-0.327,-0.347,0.056,1.985,-0.186,2.462,-2.037,-0.723,-1.53,-0.696,-1.016,1.14,2.34,1.053,1.199,1.619,-1.85,-0.588,-3.167,-0.262,-1.094,1.504,2.456,1.918,-0.573,1.704,2.007,0.66,0.014,-0.878,0.94,0.29,2.817,1.199,0.967,2.137,-1.256,-0.076,0.187,0.867,-1.976,-0.736,0.842,0.95,-0.154,-1.789,-0.467,-0.216,0.005,0.048,3.429,0.441,1.311
1.516,1.516,1.516,1.516,1.516,1.516,1.516,1.516,1.516,1.516,1.516,1.516,1.516,1.516,1.516,1.516,1.516,1.516,1.516,1.516,1.516,1.516,1.516,1.516,1.516,1.516,1.516,1.516,1.516,1.516,1.516,1.516,1.516,1.516,1.516,1.516,1.516,1.516,1.516,1.516,1.516,1.516,1.516,1.516,1.516,1.516,1.516,1.516,1.516,1.516,1.516,1.516,1.516,1.516,1.516,1.516,1.516,1.516
-0.321,-2.019,0.884,0.45,0.972,-0.563,-0.474,-0.655,-0.885,0.011,-0.536,-1.118,-0.444,-1.027,-0.294,-0.197,-1.572,1.433,1.33,-1.37,0.481,1.241,-0.616,-0.607,1.45,-2.346,0.448,-1.635,-0.463,-1.119,-3.536,-0.95,1.384,-0.134,1.466,0.173,0.307,-2.233,1.018,1.713,-4.266,0.409,-0.085,1.46,0.07,0.33,-1.38,0.953,1.902,0.453,0.703,-0.831,-0.035,1.106,0.509,-0.872,0.476,0.04
1.229,1.229,1.229,1.229,1.229,1.229,1.229,1.229,1.229,1.229,1.229,1.229,1.229,1.229,1.229,1.229,1.229,1.229,1.229,1.229,1.229,1.229,1.229,1.229,1.229,1.229,1.229,1.229,1.229,1.229,1.229,1.229,1.229,1.229,1.229,1.229,1.229,1.229,1.229,1.229,1.229,1.229,1.229,1.229,1.229,1.229,1.229,1.229,1.229,1.229,1.229,1.229,1.229,1.229,1.229,1.229,1.229,1.229
0.906,-0.303,1.938,-0.706,0.537,-0.877,-1.709,0.279,-1.065,0.045,0.05,-1.099,-1.06,-0.966,0.804,1.352,1.151,2.385,0.02,-1.593,1.873,-1.309,-0.13,-0.559,0.029,-0.747,2.735,-1.764,2.918,-0.2,-0.456,0.793,0.173,-0.009,2.384,1.751,1.157,-0.33,-0.257,1.829,1.011,2.361,0.547,0.901,0.363,0.463,0.191,-0.348,3.185,2.768,0.421,0.771,0.041,0.018,1.056,1.815,-0.081,1.255
1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124
0.053,-0.395,0.015,-0.822,0.195,-0.553,-0.053,0.476,0.23,-0.837,-0.168,0.479,-0.241,-0.053,0.06,-0.292,0.158,0.116,0.008,0.384,0.114,0.875,0.042,0.294,0.138,0.157,1.027,-0.215,-0.267,0.543,1.487,,,,,,,1.067,-0.243,-0.613,0.997,0.007,,2.767,,3.557,-0.073,0.438,2.937,-0.143,,,,,,,,
0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,,,,,,,0.357,0.357,0.357,0.357,0.357,,0.357,,0.357,0.357,0.357,0.357,0.357,,,,,,,,
1.492,-2.161,-1.738,-1.345,1.423,0.854,-2.253,0.112,-2.381,-2.225,0.6,0.48,-0.799,1.569,-1.382,0.009,1.548,1.253,0.927,-1.915,1.113,0.449,0.444,-0.043,0.335,0.612,1.735,-0.108,3.035,-2.453,-0.265,1.034,1.764,1.58,1.229,0.821,1.144,-0.048,-0.002,2.791,-2.419,2.442,0.922,0.555,-2.666,-0.089,-0.104,-0.523,0.304,-1.155,2.015,1.335,0.629,0.442,3.596,1.451,-0.195,2.754
1.521,1.521,1.521,1.521,1.521,1.521,1.521,1.521,1.521,1.521,1.521,1.521,1.521,1.521,1.521,1.521,1.521,1.521,1.521,1.521,1.521,1.521,1.521,1.521,1.521,1.521,1.521,1.521,1.521,1.521,1.521,1.521,1.521,1.521,1.521,1.521,1.521,1.521,1.521,1.521,1.521,1.521,1.521,1.521,1.521,1.521,1.521,1.521,1.521,1.521,1.521,1.521,1.521,1.521,1.521,1.521,1.521,1.521
-0.144,-0.096,0.206,-0.474,0.017,0.181,-0.37,-0.09,0.124,-0.038,-0.656,0.54,-0.208,-0.343,-0.311,-0.152,-0.135,0.296,0.225,0.031,0.715,0.535,-0.112,0.033,0.146,0.384,0.656,-0.143,0.593,0.533,0.125,-0.558,0.465,0.492,-0.126,0.345,1.115,-0.074,0.52,-0.244,0.755,0.674,0.668,0.498,-0.153,0.345,0.098,0.829,0.307,0.298,-0.371,0.587,0.505,0.908,1.137,0.963,0.893,1.108
0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293,0.293
0.215,0.473,0.854,-0.906,0.232,-0.308,-0.469,0.155,0.089,0.051,-0.584,-0.123,-0.93,-0.519,-0.96,0.09,0.232,0.362,0.251,0.377,0.511,-0.52,0.25,-0.257,0.107,0.076,0.975,-0.397,0.472,0.059,-0.775,0.131,0.483,0.497,0.712,-0.451,1.519,0.921,0.263,0.609,0.916,0.951,0.523,0.437,0.257,0.885,0.349,-0.25,0.762,-0.121,0.297,0.689,0.816,0.628,1.345,1.139,1.207,0.783
0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474,0.474
-1.283,-1.976,0.021,-0.261,-0.09,0.88,0.248,-1.239,-0.349,0.328,1.32,-0.707,-1.271,2.531,0.338,1.925,-0.872,-0.758,0.348,1.649,-0.439,0.817,-1.77,1.93,-2.206,-1.089,-0.628,-1.202,1.991,2.085,1.436,0.017,-1.275,-1.31,0.167,0.779,0.228,-0.572,-2.808,0.129,0.708,-1.808,1.861,1.938,2.965,-0.693,-0.026,0.595,1.187,0.856,0.764,2.376,1.542,0.478,-0.346,1.395,-0.028,2.267
